index,id,date,year,month,.day,yid,inv,p1,p1u,p2,p2u,p3,p3u,p4,p4u,p5,p5u,p6,p6u,p7,p7u,ball1,ball2,ball3,ball4,ball5,ball6,ball7,sbcode,sbnameE,sbnameC
2019115,19/115,13/10/2019,2019,10,13,115,101612510,0,0.0,1130870,4.5,92310,147.0,9600,359.0,640,7660.2,320,10131.5,40,149952.6,10,16,27,29,37,42,44,,,
2019114,19/114,08/10/2019,2019,10,08,114,78450179,0,0.0,1727070,2.0,61810,149.0,9600,367.0,640,7905.2,320,10131.0,40,130838.0,13,23,35,36,43,47,16,,,
2019113,19/113,03/10/2019,2019,10,03,113,70488672,0,0.0,885170,3.5,65050,127.0,9600,279.5,640,7582.6,320,7903.0,40,132549.3,1,12,13,15,19,45,44,,,
2019112,19/112,29/09/2019,2019,09,29,112,58916367,0,0.0,1506440,1.5,38500,156.5,9600,294.5,640,7560.6,320,7980.2,40,126021.5,2,3,7,10,18,48,33,,,
2019111,19/111,26/09/2019,2019,09,26,111,50482820,0,0.0,435610,5.0,74460,78.0,9600,285.5,640,4469.1,320,7859.8,40,79701.8,2,3,11,20,27,46,4,,,
2019110,19/110,24/09/2019,2019,09,24,110,43799501,0,0.0,0,0.0,107760,50.5,9600,201.0,640,4264.5,320,4775.0,40,62833.0,6,17,44,45,46,49,41,,,
2019109,19/109,22/09/2019,2019,09,22,109,36520954,0,0.0,0,0.0,106880,49.0,9600,106.5,640,2369.0,320,2913.6,40,46540.2,3,28,39,40,42,44,37,,,
2019108,19/108,19/09/2019,2019,09,19,108,43030039,9528260,1.5,2097460,1.0,84100,66.5,9600,173.5,640,3340.0,320,4834.4,40,62998.9,8,17,34,39,42,44,7,,,
2019107,19/107,17/09/2019,2019,09,17,107,39022038,0,0.0,340800,4.5,46730,87.5,9600,260.7,640,4119.0,320,6130.5,40,68394.4,12,20,22,26,30,36,2,,,
2019106,19/106,14/09/2019,2019,09,14,106,34151015,3200000,2.5,185340,0.5,19200,291.7,9600,163.0,640,8705.9,320,3876.5,40,98209.9,1,4,7,12,19,28,43,,,
2019105,19/105,12/09/2019,2019,09,12,105,85805994,51826970,1.0,2463080,1.5,55820,176.5,9600,428.5,640,8543.6,320,11896.6,40,146997.9,5,23,24,25,31,33,7,,,
